,title,artist,id,link,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,track_href,duration_ms,label
4133,Heretics,Andrew Bird,6OshHxkeGwqAnWwI2OrNty,https://open.spotify.com/artist/4uSftVc3FPWe6RJuMZNEe9,0.416,0.75,8,-8.45,1,0.0546,0.114,2.99e-05,0.117,0.496,131.697,spotify:track:6OshHxkeGwqAnWwI2OrNty,https://api.spotify.com/v1/tracks/6OshHxkeGwqAnWwI2OrNty,213800,nothot
4134,Im Crying,The Animals,5zhHaQJXiD8jFVwhpPColg,https://open.spotify.com/artist/3ICflSq6ZgYAIrm2CTkfVP,0.553,0.557,10,-9.834,1,0.0322,0.0186,0.0051,0.353,0.804,113.142,spotify:track:5zhHaQJXiD8jFVwhpPColg,https://api.spotify.com/v1/tracks/5zhHaQJXiD8jFVwhpPColg,166507,nothot
4135,Starshine,Gorillaz,6Acl07q1DvzOyEskfmgsdv,https://open.spotify.com/artist/3AA28KZvwAUcZuOKwyblJQ,0.813,0.341,11,-14.411,0,0.0409,0.0654,0.69,0.0897,0.76,107.77,spotify:track:6Acl07q1DvzOyEskfmgsdv,https://api.spotify.com/v1/tracks/6Acl07q1DvzOyEskfmgsdv,213547,nothot
4136,One Night In Bangkok,Murray Head,1xgqGXZW1udHCjuwjeRDVO,https://open.spotify.com/artist/479Yp6DvyXoIaCssAxB4QR,0.954,0.451,2,-9.124,0,0.108,0.193,0.00295,0.0637,0.839,108.842,spotify:track:1xgqGXZW1udHCjuwjeRDVO,https://api.spotify.com/v1/tracks/1xgqGXZW1udHCjuwjeRDVO,193440,nothot
4137,Who Shot Ya,The Notorious BIG,2KFg8kjYy0rYjWsXGhEQHN,https://open.spotify.com/artist/5me0Irg2ANcsgc93uaYrpb,0.831,0.682,7,-5.697,1,0.238,0.256,0,0.494,0.6,91.771,spotify:track:2KFg8kjYy0rYjWsXGhEQHN,https://api.spotify.com/v1/tracks/2KFg8kjYy0rYjWsXGhEQHN,319360,nothot
4138,Mama Said Knock You Out,LL Cool J,6hQ9MHueMKUr0zVZGK2kuu,https://open.spotify.com/artist/1P8IfcNKwrkQP5xJWuhaOC,0.808,0.792,10,-6.41,0,0.143,0.0418,0.576,0.33,0.602,102.371,spotify:track:6hQ9MHueMKUr0zVZGK2kuu,https://api.spotify.com/v1/tracks/6hQ9MHueMKUr0zVZGK2kuu,288825,nothot
4139,Ulysses,Franz Ferdinand,5sCjd47MEpd7vkvhYukANl,https://open.spotify.com/artist/0XNa1vTidXlvJ2gHSsRi4A,0.696,0.621,7,-5.716,1,0.0793,0.00504,0.000171,0.143,0.544,98.797,spotify:track:5sCjd47MEpd7vkvhYukANl,https://api.spotify.com/v1/tracks/5sCjd47MEpd7vkvhYukANl,193573,nothot
4140,Resurrection,The Temper Trap,2jX8hpVjcKW6vkt9GbdMdc,https://open.spotify.com/artist/4W48hZAnAHVOC2c8WH8pcq,0.569,0.476,4,-9.505,0,0.0336,0.339,0.499,0.0999,0.252,124.991,spotify:track:2jX8hpVjcKW6vkt9GbdMdc,https://api.spotify.com/v1/tracks/2jX8hpVjcKW6vkt9GbdMdc,336360,nothot
4141,I Dont Want To See You,Camera Obscura,22jrYn5dzXNMfVinJsSwAK,https://open.spotify.com/artist/5gInJ5P5gQnOKPM3SUEVFt,0.556,0.106,0,-15.371,1,0.0357,0.987,0.0907,0.0945,0.229,119.6,spotify:track:22jrYn5dzXNMfVinJsSwAK,https://api.spotify.com/v1/tracks/22jrYn5dzXNMfVinJsSwAK,194573,nothot
4142,Birthday,the bird and the bee,78dfjOECKaC0OSbmsAz7vj,https://open.spotify.com/artist/65XA3lk0aG9XejO8y37jjD,0.713,0.605,5,-8.046,1,0.0337,0.392,0.0976,0.0792,0.651,141.974,spotify:track:78dfjOECKaC0OSbmsAz7vj,https://api.spotify.com/v1/tracks/78dfjOECKaC0OSbmsAz7vj,227747,nothot
