title,artist,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,track_href,duration_ms,label,links
Into Dust,Mazzy Star,7l5nkTZpoD93OkynN0gcon,0.415,0.132,7,-18.839,1,0.0353,0.94,0.137,0.113,0.122,169.006,spotify:track:7l5nkTZpoD93OkynN0gcon,https://api.spotify.com/v1/tracks/7l5nkTZpoD93OkynN0gcon,336760,nothot,https://open.spotify.com/track/7l5nkTZpoD93OkynN0gcon
Deja Vu,Yeah Yeah Yeahs,5m7s7YhAlceZftDRMnNNk9,0.505,0.946,9,-5.49,1,0.116,4.19e-05,0.000868,0.484,0.516,122.718,spotify:track:5m7s7YhAlceZftDRMnNNk9,https://api.spotify.com/v1/tracks/5m7s7YhAlceZftDRMnNNk9,202493,nothot,https://open.spotify.com/track/5m7s7YhAlceZftDRMnNNk9
Im A Man,Bo Diddley,760clbeDBWmBsBLbszWuNZ,0.513,0.546,0,-15.672,1,0.0391,0.333,0.0,0.17,0.834,85.527,spotify:track:760clbeDBWmBsBLbszWuNZ,https://api.spotify.com/v1/tracks/760clbeDBWmBsBLbszWuNZ,164547,nothot,https://open.spotify.com/track/760clbeDBWmBsBLbszWuNZ
Its Not Over,Secondhand Serenade,747tg4wG2yayfcbasikWC3,0.49,0.582,6,-5.646,1,0.0264,0.621,0.0,0.0879,0.314,87.828,spotify:track:747tg4wG2yayfcbasikWC3,https://api.spotify.com/v1/tracks/747tg4wG2yayfcbasikWC3,203694,nothot,https://open.spotify.com/track/747tg4wG2yayfcbasikWC3
Say,Method Man,2Lj1BSSrmaFPH2aEPCKyth,0.826,0.416,0,-7.615,1,0.319,0.117,0.0,0.0737,0.621,92.033,spotify:track:2Lj1BSSrmaFPH2aEPCKyth,https://api.spotify.com/v1/tracks/2Lj1BSSrmaFPH2aEPCKyth,229587,nothot,https://open.spotify.com/track/2Lj1BSSrmaFPH2aEPCKyth
You and Me,SOJA,0DmZM13fo3Oq96ZWyHWpiL,0.92,0.319,4,-7.965,0,0.0372,0.0258,0.0,0.105,0.439,113.987,spotify:track:0DmZM13fo3Oq96ZWyHWpiL,https://api.spotify.com/v1/tracks/0DmZM13fo3Oq96ZWyHWpiL,310153,nothot,https://open.spotify.com/track/0DmZM13fo3Oq96ZWyHWpiL
Everybody Everybody,Black Box,6wBMTv8yTiNh50fqTkT0JC,0.712,0.785,5,-6.418,0,0.0386,0.00363,6.95e-06,0.0878,0.975,117.643,spotify:track:6wBMTv8yTiNh50fqTkT0JC,https://api.spotify.com/v1/tracks/6wBMTv8yTiNh50fqTkT0JC,247002,nothot,https://open.spotify.com/track/6wBMTv8yTiNh50fqTkT0JC
Tier,Rammstein,0S2UfCA5A275xChEi9a6vU,0.591,0.942,7,-4.975,1,0.0576,0.00429,0.0558,0.18,0.456,95.084,spotify:track:0S2UfCA5A275xChEi9a6vU,https://api.spotify.com/v1/tracks/0S2UfCA5A275xChEi9a6vU,226067,nothot,https://open.spotify.com/track/0S2UfCA5A275xChEi9a6vU
A Beautiful Mine,RJD2,7aRJmzl622nk2qhnUxc1fV,0.62,0.666,1,-11.865,1,0.11,0.294,0.907,0.18,0.0367,114.216,spotify:track:7aRJmzl622nk2qhnUxc1fV,https://api.spotify.com/v1/tracks/7aRJmzl622nk2qhnUxc1fV,329093,nothot,https://open.spotify.com/track/7aRJmzl622nk2qhnUxc1fV
Curtains Close,Eminem,51LeDAMy6nWqKdjVo7jK4j,0.572,0.412,11,-20.224,1,0.54,0.518,0.00026,0.334,0.685,99.314,spotify:track:51LeDAMy6nWqKdjVo7jK4j,https://api.spotify.com/v1/tracks/51LeDAMy6nWqKdjVo7jK4j,61867,nothot,https://open.spotify.com/track/51LeDAMy6nWqKdjVo7jK4j
